encoder_version,layer,roi_type,pool_type,sequence_mode,probe_type,split_version,seed,split_name,n_cases,auc,accuracy,sensitivity,specificity,f1
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,train,140,0.720407196969697,0.6428571428571429,0.7045454545454546,0.6145833333333334,0.5535714285714286
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,val,36,0.5163636363636365,0.5,0.5454545454545454,0.48,0.4
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,test,44,0.5404761904761904,0.5227272727272727,0.5714285714285714,0.5,0.4324324324324324
medsam2_stage1_v1,l2,peritumor_3mm,avg_pool_masked,single_sequence,svm,split_v1,42,train,140,0.6680871212121212,0.6,0.6363636363636364,0.5833333333333334,0.5
medsam2_stage1_v1,l2,peritumor_3mm,avg_pool_masked,single_sequence,svm,split_v1,42,val,36,0.3163636363636364,0.5,0.0909090909090909,0.68,0.1
medsam2_stage1_v1,l2,peritumor_3mm,avg_pool_masked,single_sequence,svm,split_v1,42,test,44,0.6238095238095238,0.6363636363636364,0.6428571428571429,0.6333333333333333,0.5294117647058824
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,logistic,split_v1,42,train,140,0.6448863636363636,0.5571428571428572,0.5681818181818182,0.5520833333333334,0.4464285714285714
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,logistic,split_v1,42,val,36,0.5236363636363637,0.5277777777777778,0.5454545454545454,0.52,0.4137931034482758
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,logistic,split_v1,42,test,44,0.5642857142857144,0.5227272727272727,0.6428571428571429,0.4666666666666667,0.4615384615384615
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,mlp,split_v1,42,train,140,0.4176136363636363,0.6857142857142857,0.0,1.0,0.0
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,mlp,split_v1,42,val,36,0.4472727272727272,0.6944444444444444,0.0,1.0,0.0
medsam2_stage1_v1,l2,tumor,avg_pool_masked,single_sequence,mlp,split_v1,42,test,44,0.4714285714285714,0.6818181818181818,0.0,1.0,0.0
medsam2_stage1_v1,l2,peritumor_5mm,avg_pool_masked,single_sequence,svm,split_v1,42,train,140,0.6564867424242423,0.6214285714285714,0.6363636363636364,0.6145833333333334,0.5137614678899083
medsam2_stage1_v1,l2,peritumor_5mm,avg_pool_masked,single_sequence,svm,split_v1,42,val,36,0.4181818181818181,0.4722222222222222,0.1818181818181818,0.6,0.1739130434782608
medsam2_stage1_v1,l2,peritumor_5mm,avg_pool_masked,single_sequence,svm,split_v1,42,test,44,0.5476190476190477,0.4772727272727273,0.5,0.4666666666666667,0.3783783783783784
medsam2_stage1_v1,l1,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,train,140,0.5632102272727273,0.5214285714285715,0.4545454545454545,0.5520833333333334,0.3738317757009345
medsam2_stage1_v1,l1,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,val,36,0.4872727272727272,0.5277777777777778,0.3636363636363636,0.6,0.32
medsam2_stage1_v1,l1,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,test,44,0.4833333333333334,0.5681818181818182,0.5,0.6,0.4242424242424242
medsam2_stage1_v1,l3,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,train,140,0.8963068181818182,0.8285714285714286,0.8863636363636364,0.8020833333333334,0.7647058823529411
medsam2_stage1_v1,l3,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,val,36,0.6618181818181817,0.5555555555555556,0.6363636363636364,0.52,0.4666666666666667
medsam2_stage1_v1,l3,tumor,avg_pool_masked,single_sequence,svm,split_v1,42,test,44,0.4761904761904761,0.4545454545454545,0.5,0.4333333333333333,0.3684210526315789
medsam2_stage1_v1,l2,tumor,avg_pool_masked,mean_over_sequences,svm,split_v1,42,train,140,0.6541193181818182,0.5714285714285714,0.5454545454545454,0.5833333333333334,0.4444444444444444
medsam2_stage1_v1,l2,tumor,avg_pool_masked,mean_over_sequences,svm,split_v1,42,val,36,0.4836363636363636,0.4444444444444444,0.4545454545454545,0.44,0.3333333333333333
medsam2_stage1_v1,l2,tumor,avg_pool_masked,mean_over_sequences,svm,split_v1,42,test,44,0.6928571428571428,0.6590909090909091,0.5714285714285714,0.7,0.5161290322580645
medsam2_stage1_v1,l2,tumor,avg_pool_masked,concat_sequences,svm,split_v1,42,train,140,0.9228219696969697,0.8357142857142857,0.8863636363636364,0.8125,0.7722772277227723
medsam2_stage1_v1,l2,tumor,avg_pool_masked,concat_sequences,svm,split_v1,42,val,36,0.5927272727272727,0.6666666666666666,0.6363636363636364,0.68,0.5384615384615384
medsam2_stage1_v1,l2,tumor,avg_pool_masked,concat_sequences,svm,split_v1,42,test,44,0.7595238095238095,0.6818181818181818,0.6428571428571429,0.7,0.5625
